precision,recall,threshold
0.006445501534152921,1.0,6.668923678491701e-07
0.006445534716823772,1.0,6.680086088685656e-07
0.006445567899836286,1.0,6.699422604137105e-07
0.00644560108319047,1.0,6.709954559633434e-07
0.006445634266886326,1.0,6.717859374659472e-07
0.006445667450923862,1.0,6.735514170949193e-07
0.006445700635303081,1.0,6.741965555793455e-07
0.006445733820023991,1.0,6.756594507808349e-07
0.006445767005086596,1.0,6.764496088096607e-07
0.006445800190490901,1.0,6.770756828015764e-07
0.00644583337623691,1.0,6.784864892962983e-07
0.006445866562324631,1.0,6.790176270282652e-07
0.006445899748754067,1.0,6.844213600848956e-07
0.006445932935525225,1.0,6.858420233853201e-07
0.00644596612263811,1.0,6.928117788129485e-07
0.006445999310092726,1.0,6.928530444862874e-07
0.006446032497889079,1.0,6.931138520414747e-07
0.006446065686027174,1.0,6.931423438776272e-07
0.006446098874507018,1.0,6.931548992179244e-07
0.0064461320633286134,1.0,6.948010216675507e-07
0.006446165252491968,1.0,6.962554568180357e-07
0.006446198441997086,1.0,6.970315445522642e-07
0.006446231631843972,1.0,6.970948223320815e-07
0.006446264822032633,1.0,7.020935683541336e-07
0.006446298012563073,1.0,7.035312239614217e-07
0.006446331203435297,1.0,7.039608844983153e-07
0.006446364394649312,1.0,7.072049479801457e-07
0.006446397586205121,1.0,7.089634560052208e-07
0.006446430778102731,1.0,7.117553568326128e-07
0.006446463970342146,1.0,7.125683953606662e-07
0.006446497162923373,1.0,7.143106079292037e-07
0.006446530355846416,1.0,7.143273113798281e-07
0.0064465635491112805,1.0,7.14592957649724e-07
0.006446596742717972,1.0,7.154613139983807e-07
0.006446629936666495,1.0,7.158511261991748e-07
0.006446663130956856,1.0,7.166710466900501e-07
0.006446696325589059,1.0,7.220288450045169e-07
0.006446729520563111,1.0,7.234940810883547e-07
0.006446762715879015,1.0,7.23761862537198e-07
0.006446795911536778,1.0,7.248842956521074e-07
0.006446829107536405,1.0,7.287061518978069e-07
0.006446862303877901,1.0,7.288135036806251e-07
0.0064468955005612715,1.0,7.306884141502229e-07
0.006446928697586521,1.0,7.313567554570913e-07
0.006446961894953656,1.0,7.318642361508925e-07
0.006446995092662681,1.0,7.32639096332436e-07
0.006447028290713601,1.0,7.36001012734208e-07
0.0064470614891064225,1.0,7.365761252287248e-07
0.00644709468784115,1.0,7.39512438071843e-07
0.006447127886917789,1.0,7.412269411261777e-07
0.006447161086336344,1.0,7.413957857516316e-07
0.006447194286096821,1.0,7.426430617825608e-07
0.006447227486199226,1.0,7.429874704091207e-07
0.006447260686643562,1.0,7.461983257404019e-07
0.006447293887429837,1.0,7.476925791075371e-07
0.006447327088558054,1.0,7.477257067112631e-07
0.00644736029002822,1.0,7.494048799226962e-07
0.006447393491840339,1.0,7.523697413827113e-07
0.0064474266939944175,1.0,7.535091962799458e-07
0.00644745989649046,1.0,7.537315628867067e-07
0.006447493099328472,1.0,7.537441001087774e-07
0.006447526302508459,1.0,7.547517551522722e-07
0.006447559506030425,1.0,7.554603864798451e-07
0.006447592709894377,1.0,7.560160780700953e-07
0.006447625914100319,1.0,7.561047085295701e-07
0.006447659118648258,1.0,7.562607504897292e-07
0.006447692323538197,1.0,7.57676730813949e-07
0.006447725528770143,1.0,7.592238395224225e-07
0.0064477587343441,1.0,7.628355209753899e-07
0.006447791940260074,1.0,7.630630689570924e-07
0.006447825146518071,1.0,7.670777277951011e-07
0.006447858353118095,1.0,7.716284094816327e-07
0.006447891560060153,1.0,7.72040779627926e-07
0.006447924767344248,1.0,7.751768268023374e-07
0.006447957974970386,1.0,7.759222888361171e-07
0.006447991182938574,1.0,7.761720536444013e-07
0.006448024391248816,1.0,7.76407587636295e-07
0.006448057599901116,1.0,7.78293101182186e-07
0.006448090808895481,1.0,7.784908929210613e-07
0.006448124018231916,1.0,7.82045765793068e-07
0.006448157227910426,1.0,7.835907504957939e-07
0.0064481904379310164,1.0,7.839432961595979e-07
0.0064482236482936925,1.0,7.876024500123777e-07
0.00644825685899846,1.0,7.881549962391318e-07
0.0064482900700453235,1.0,7.894425308969122e-07
0.006448323281434289,1.0,7.928587040580511e-07
0.00644835649316536,1.0,7.959809299814551e-07
0.006448389705238544,1.0,7.971891379459934e-07
0.006448422917653845,1.0,7.979331644200223e-07
0.0064484561304112694,1.0,7.992966206565994e-07
0.006448489343510821,1.0,7.999581422233259e-07
0.006448522556952507,1.0,8.003426042821184e-07
0.006448555770736331,1.0,8.011745206333029e-07
0.0064485889848622975,1.0,8.019688041409191e-07
0.006448622199330414,1.0,8.020326914782639e-07
0.0064486554141406855,1.0,8.029887285341835e-07
